x,y
rt wa there call for people to leave dangerous area before before it happened,0
globally it your excellency doe our have climate change act or policy to mitigate this devastating effect that ha left over dead amp over devastated in yes we can,2
cyclone idai damaged fuel control room in beira cyclone idai which ha left trail of destruction in zimbabwe mozambique and malawi damaged the companhiado de pipeline mozambique zimbabwe cpmz control room at,1
good night in mozambique specifically in the border city there wa disastrous storm known a cyclone idai this storm destroyed several house hospital flood access road were destroyed power pole communication network death very much sad even,1
surprisingly remnant of cyclone idai made huge damage in after large disaster in it look the community in this part of the world are not used to this negative product of climate change,1
state of disaster president to address nation on the damage wrought by his administration okayed 50m to attend to immediate infrastructural amp rescue effort,1
confirmed dead in chimanimani including high school pupil from st charles luwanga more than reported missing a cyclone idai wreck havoc,2
is thrilled to distribute dignity kit to new mother and woman displaced from their home by the flood in tete province more on the way for those impacted by cyclone idai,0
im cry blood for my missing child even though hit mozambique over week ago aid agency are warning that the disaster is getting worse wa in chimanimani in eastern zimbabwe one of the worst affected area,3
flood triggered by have hit malawi more than people have been killed about million affected flood arent uncommon in but it disaster for vulnerable community there are solution explains,2
entire village washed away and some victim still buried under the rock the death toll is understated e,2
you donate food stuff for the victim and hear zanu is now distributing the good to their party member only nxaa fuck these donation zanu will make have savage heart where is red cross church why politicize food aid on such national crisis,4
the damage to infrastructure in is massive need urgent local regional and international help bridge on the road road connecting amp wa swept away,1
thousand people with disability affected by the impact of destruction from cyclone idai and subsequent flooding in mozambique any response to be sustainable must address their need,1
am the only who is not feeling these cyclone joke people are dead people have lost their home and property but we have time for joke really call me old fashioned or whatever but feel like it way too soon praying for all victim f,2
in cyclone decimated beira mozambique cholera is quickly spreading in the wake of flooding that killed more than people,2
ha been affected by from thurs march most of the damage is north around our thought go out to those whose life have been affected so far none of our client or resort partner are affected flight have resumed,1
this is sickening you claim to be citizen movement but instead of educating citizen on danger of cyclone amp do and donts in the wake of you are busy politicking pointing finger wont help people in chimanimani it will only please your u handler,4
makhanga is of the worst affected area in malawi electricity ha been restored but the area still remains cut off from all road access due to damage from your contribution can help u rebuild the road of makhanga donate,1
where wa that woman coming from how did that man end up with aid from methodist in that forest who wa taking them this video how did the man know this woman really needed aid how sure are you this man is not thief why do you trust him,4
rt thing we lost in the flood,1
rt aid increase to thousand homeless from mozambique cyclone u military to help,0
swept through mozambique malawi and zimbabwe more than week ago leaving behind trail of destruction this week the urgency remains with widespread flooding and high risk of disease like cholera please donate now,1
the k9 team is headed for an area in chimanimani called kopa there are school child missing the search to locate their amp other remains begin today look out for my amp linges report on on sat morning fc,3
rt death toll in africa climb past after cyclone,2
icco is supporting the victim of cyclone through which member are responding to the severe destruction caused by the cyclone in mozambique zimbabwe amp malawi house have been destroyed and entire swathe of crop were damaged,1
killed nearly people and ravaged what is pres using relief fund for chartering private jet for himself and his deputy nothing ha changed in under is the name of the game,2
more than people have been killed and affected by torrential rain in malawi mozambique and south africa the un and official said a tropical cyclone idai is expected to hit the continent south eastern country,2
the red cross say cholera wa reported in beira mozambique which wa destroyed by cyclone idai and where thousand of survivor face water shortage aid group say people still stranded or in makeshift camp are at risk of deadly disease due to lack of clean water,1
rt mutare aerodrome scene just before the president left mutare to visit the affected area,4
could be the worst such disaster to hit the southern hemisphere mozambique declares state of emergency three day of national mourning starting today death toll surge to more than,2
body of cyclone idai victim found floating in mozambique,2
news coming from chimanimani zimbabwe say ha hit st charles lwanga catholic school rock rolled from mountain and hit the dinning hall which collapsed onto dormitory report are that some student have been rescued but there are fear of loss of we pray,1
cyclone idai update electricity the main line from chipinge to chimanimani ha pole washed away work in progress mt selinda to chipinge pole collapsed and work are in progress,1
rt latest update death toll now at zcdc worker have been rescued more people reported missing,2
a real disaster of great proportion ha affected more than million people across several southern african country and the death toll could potentially rise above,2
rt people have been confirmed dead in mozambique after cyclone hit the country march,2
while the level of destruction in beira is generally not the reported in the medium for some building it wa,1
we made it to coming in by helicopter we saw significant damage barely any house seemed intact power line and tree are down many part are flooding what we hear that the situation outside the city is even worse,1
our team in report that per cent of the city ha been severely damaged or destroyed the physical impact of is huge but we still dont know the precise human impact our press release,1
mozambique wa poor country making an impressive economic comeback when cyclone idai struck on march now moz must come up with u 773million to repair physical damage pic school not to mention humanitarian aid people are now confirmed dead,2
cyclone death toll surge a un step up mozambique aid call,2
did not damage fuel pipeline zim government say,1
cyclone leaf trail of death destruction and homelessness in malawi mozambique amp zimbabwe affected country appeal for urgent aid oxfam team are assessing the need of people worst affected in all country,2
meanwhile in zimbabwe more than people have been killed by cyclone idai and lot more missing,2
update mozambique is entering day of mourning after the govt confirmed hundred of people are dead from cyclone idai unicef say 260k child are at risk the president fear the death toll may rise to a rescuer are still finding body while flooding continues,2
drinking water supply is up and running again in beira following the failure of all electricity and communication when the devastating cyclone hit the city,1
f the number of people killed in following ha almost doubled over night to could rise to over fisherman from is doing all he can to save a many people a possible our story,2
fuel transport infrastructure in mozambique wa destroyed by the cyclone,1
score more death reported in where the disaster is described a unprecedented of death across mozambique fc amp estimated million people affected amp others organising support,2
wiped out many human life there are child from chimanimani amp chipinge who were in boarding school they closed yesterday amp they went back nobody surviving majority perished or th most important people in their life no more who is handling these case,2
in malawi people killed by speeding truck at busy market on friday four other fatal road accident in two week period been too much,2
loss of life and damage to think some of the infrastructure damage from cyclone eline in wa only getting repaired now year later,1
with assessment ongoing all over the province hit by in mozambique the damage toll is mounting southward of munhinga river bridge collapsed isolating dombe and munhinga in sussundenga from the rest of manica province,1
mnangagwa shouldnt have flown to the uae in the first place because wa already wrecking havoc it wa irresponsible of him to fly to the uae at time like this now he flying home to do some damage control useless wicked dictator f7f,4
africa southeast many dead in and serious unfolding bbc news,2
the death toll from that hit malawi mozambique and zimbabwe last week stood at on sunday with more missing amp ten of thousand of others stranded and cut off from road and telephone in mainly poor rural area,2
too bad some of the beautiful place were destroyed by,1
update number of casualty in zimbabwe a of 03 19 total death missing injured marooned,2
blind spot in standard german european news coverage because it isnt florida or do the algorithm hide news item from me based on presumed preference cyclone idai death toll climb over in mozambique and zimbabwe,2
word cant describe the tragedy in mozambique our report tropical cyclone that swept across mozambique may have killed more than people via,2
so they are some people who actually took their money to church today instead of helping out the victim of,4
cyclone idai death toll reach staggering in mozambique,2
rt the only reason it is not been treated a global emergency is probably because it happened in africa,4
while self styled president is mum amp quiet about the disaster is luring investor to develop the country if chamisa really care why cant he call a he said amp help the victim hypocrisy dzega dzega,4
terribly sad news life lost amp damage caused by in eastern were following closely with partner on the ground c7 is supporting those affected in amp stand ready to support in fcwhere we can thought amp prayer for those affected,1
rt death toll now reach,2
mozambique cyclone hit city of beira ha confirmed it first death from cholera a the number of case of the disease ha jumped to,2
sad to hear of death amp destruction of home amp property in manicaland particularly in chimanimani in the wake of road are impassable amp huge challenge for rescue service all asistance is required,1
a big thump up for zim on the spirit of oneness towards the victim wish it wa done regulary not because of disaster but for building the nation where it will be used for building one province at time surely zim will be an epitome of africa through this,1
the current tropical cyclone idai reminds me of rosita mabuiango who wa born in tree year ago after her mother and family were caught in mozambique worst flood that killed people rosita who turned on march want to be petrochemical engineer,2
these figure are scary about people feared dead and an estimated child thats half of the total have been orphaned and made homeless by cyclone idai in mozambique one of the worst tropical cyclone on record to affect africa,2
mozambique on wednesday began three day of national mourning for more than victim of cyclone idai one of the most destructive storm southern africa ha experienced in decade,1
death toll from cyclone idai rise a uk fly tonne of aid to million people authority in mozambique say people have died after cyclone idai hit southern africa more than a,2
today official observed in chimanimani flattened farmland beyond trace and house turned into ruble providing permanent solution to those living in temporary shelter and restoring livelihood of farmer will be part of response,1
rt mozambique city beira damaged or destroyed by cyclone red cross,1
beira mozambiquea city of half millionis almost totally cut off from the rest of the world after suffering direct hit from cyclone day ago people are dead across the region moz malawi zimbabwe south africa and humanitarian emergency is escalating,2
dozen of people have been killed following the battered zimbabweanfc east district near mozambique2f and malawi2c heartfelt condolence to the family of the victim south african national defence force is already on the ground helping out,2
ground zero is the port city of beira in mozambique where the disaster full impact is still being assessed absence of resilient infrastructure add to the challenge of emergency response and long term recovery,1
cyclone idai ravaged part of mozambique malawi amp zimbabwe in what the un say could be the worst weather related disaster ever to hit the southern hemisphere entire city have been destroyed million of people were in the direct path of the cyclone,1
two week ago destroyed the city of beira in mozambique beira will go down in history a having been wiped out by global warming some of the poorest in the world paid the ultimate price for climate crisis caused mostly by rich country,1
i am sorry to hear this kuomboka is one of the most impressive event have ever attended but this tell also of worrying low level like also in kariba of upstream zambezi while at the same time we have the induced flood in the east,4
this map provides damage assessment of the area in after inset are comparison of two area before and after the disaster,1
nhamatanda beira road detour to guarantee assistance to displaced people to be opened,0
zimbabwe online news mozambique death toll rise to after cyclone,2
worshipper sing in the remains of their church which wa destroyed by cyclone idai in mozambique read more,1
minister july moyo confirming that death toll ha risen to,2
this used to be our home we now stay at local school in the morning we eat some porridge given by wfp during the day come and search for my school book in this rubble but think they were swept away terrance ngangu chimanimani,1
after all the effort that everybody doe having good road good market place development etc beira ha been completely destroyed by idai cyclone catastrophic night march 2019 we should all pray for beirad so sadd,1
the house of the head nurse at the mutua health center in sofala wa damaged by she moved into tent with her small child to continue to take care of her patient in the health facility which wa also partially destroyed,1
mozambique reported it first confirmed death from cholera in the wake of cyclone idai the number of reported case ha now doubled to health worker say stagnant water along with damaged water and sanitation system raise the risk of major outbreak,2
food security and health need because of are so great a told just little bit ago the damage is here to stay for quite some time,1
cyclone kill more than in southeast africa the united nation estimate more than million people in mozambique malawi and zimbabwe were affected by the storm ten of thousand,2
a nurse at nyanyadzi clinic lost his wife and four child during the cyclone may their soul rest in peace meanwhile zina volunteer are on standby to assist those who might need emergency healthcare in manicaland,2
most community were submerged with all communication line cut off death have been reported along with massive human displacement and destruction of building in beira via,2
already fucked up cyclone idai 750 dead impacted mozambique malawi zimbabwe arctic heatwaves gt 20c above normal record rainfall heatwaves australia record heat chile paraguay argentina march 20c for first time nwt canada normally below freezing,2
day since cyclone idai made landfall in mozambique now one of the worst humanitarian emergency in the world hundred are dead are living in temporary camp unicef 1 000 000 child are affected un at it highest response level equal to syria amp yemen,2
the death toll in mozambique ha more than doubled to in one of southern africa most deadly recorded storm government ha declared state of emergency via with,2
day since cyclone idai made landfall in mozambique now one of the worst humanitarian emergency in the world hundred are dead unicef estimate child are affected red cross relief effort so far are nowhere near the scale and magnitude of the problem,2
catholic aid agency cafod is appealing for help to provide vital aid for the victim of in southern africa a the death toll in mozambique zimbabwe and malawi continues to rise,2
iwe utori murwere wats this we hear that wanted the number of death in zimbabwe to be high so that cud bitch and moan about it disgusting,4
cyclone idai ha devastated part of southern africa zimbabwe mozambique and malawi have been worst hit with more than people killed in all three country the work of tearfunds partner ha been affected please pray,2
mozambique cyclone of beira and surround damaged or destroyed,1
aftermath trail of destruction in picture and video,1
name of missing person sought,3
the hashtag chronicle the havoc that the cyclone wrecked in although it had weakened when it hit the country lack of preparedness resulted in loss of life and damage that were just a bad a those that occurred in some area in,1
we are also informed that cyclone idai ha killed at least people in mozambique in recent day affecting people ampisplacing we express our condolence to amp stand in solidarity with the government of malawi amp mozambique amp the family of the departed,2
rt tropical causing severe damage in mozambique sofala region gt,1
mozambique th largest city is in ruin there is no power there is no telecommunication thousand are dead thousand are missing,1
destroyed life livelihood amp critical water sanitation energy and road network ephotos taken by our humanitarian advisor norman tinarwo during an assessment of the initial response to in manicaland scale of damage to infrastructure d,1
the official death toll from cyclone idai continues to rise sharply on sunday march mozambique authority said people are now confirmed dead and the figure is likely to rise further a more affected area become accessible,2
full extent of damage wrought by is emerging and our partner are fully mobilized to provide support and life saving assistance to the flood victim and community in amp,1
latest update from beira amp the response to official death toll now at but will rise in the day and week ahead now in nd phase of emergency water have receded but the need are massive without aid death toll will rise much higher,2
effect besides the loss of life injury loss of livelihood destruction of property amp infrastructure ha far reaching consequence amp damage which will take long time to repair restore amp revive this affect fuel amp other import through beira,1
continues devastate part of zimbabwe especially the eastern highland area amp the greater manicaland region a home amp shop have completely been destroyed with govt debt relief fund non existent because of the several challenge it face zimbabwe need your help,1
i recommend that all humanitarian organisation study this carefully it show where the damage is and what need to be fixed urgently,1
mud flooded kitchen in chimanimani zimbabwe after flood,1
rt visibility ha now improved and the afz helicopter are now ferrying the injured for medical care,2
is under threat from but there are way to help farmer bounce back via,1
i am sure the authority and were aware of and could have called for the evacuation of people from these area before it wa too late,0
feared dead the president of mozambique say that more than may have been killed by cyclone idai which slammed into region four day ago the powerful storm is believed to be most destructive to hit the african country in more than decade,2
update more than people are confirmed dead in mozambique a result of cyclone idai the president say the actual death toll may be up to and ha declared day of mourning,2
a the effect of climate change are felt across the world we must ensure that those country that bear the brunt of it damage but are least able to cope are not left more indebted,1
the superficial and underwhelming coverage of flood in symptom of something more insidious than usual medium myopia say,4
rt overview of damage in the chimanimani area,1
latest took down electricity cable and tree fell roof flew off and part of the munhava municipal stadium collapsed more than in sofala province have no electricity communication is impacted claudio jamal,1
leaf tail of destruction in chimanimani,1
mozambique wa hit by one of the worst tropical cyclone on record to affect africa cyclone idai about people feared dead and an estimated million people affected almost week and most medium house have been quiet about this,2
in mozambique the beira town is now ghost town the beira road that link zimbabwe malawi and maputo ha been severely destroyed landslide and public infrastructure ha also been washed away many innocent soul have been lost,1
reconstruction and repair of home and school in the affected area should be prioritized state project fully funded from by government,1
president nyusi fly over flooded area official death toll climb to with injured,2
mozambique cyclone death toll rise past,2
nothing in from the cathedral to restaurant bank and the port escaped rising death toll affected in camp crop are gone livestock search for grazing,2
i hope that we dont lose this fact in the day ahead climate change is real and malawian do not have the resource to cope with it on their own they dont need people to tell them the answer but they do need help in implementing viable solution,4
news destroyed more than home thats why is airlifting roll of plastic sheeting to this heavy duty sheeting can be used to help family build emergency shelter repair damaged home amp building,1
watch the mozambique cyclone left hundred of dead bone by bone one forensics expert ha tried to recover them,2
with million people affected and death toll that could stretch past cyclone could be the deadliest cyclone ever recorded to hit and,2
mdc leader nelson chamisa at birchnough bridge today en route to ass cyclone idai damage in the manicaland province of zimbabwe,1
hit mozambique it believed to have already caused power cut and damage to building it not yet clear whether there are any casualty courtesy,1
climate chaos worst case scenario cyclone slam mozambique malawi death toll exceeds rising displaced landfall early today with wind of km per hour and gust of km km of road damaged bridge destroyed,2
in zimbabwe the government say people have been killed a result of and more than are missing president said that the government wa conducting rescue mission and delivering food aid,2
in this week hon monica mutsvanga reported that the number of death so far recorded in the aftermath of ha risen to the search and recovery process is now confined to recovery of the deceased,2
death toll hit,2
rt body of zim cyclone victim floating in mozambique local government minister july moyo,2
rt most of u wont recover from the final death toll from multiply the current figure by ten e,2
mozambique president filipe nyusi say cyclone idai may have killed more than people the storm struck beira the country fourth largest city with population of the red cross estimate at least of the area is completely destroyed,2
cannot go back flood leave thousand homeless,1
fuel pipeline not damaged by joram gumbo say,1
it futile trying to blame the government they dont care playing the blame game is so useless no solution come out of that however if we are to play the blame game let introspect what did we a citizen do before disaster hit to assist those affected by,4
more image of coming from team on the ground in chimanimani district this is copper community at the confluence of river where approx house were swept away or damaged,1
flooding in ha left thousand of people displaced and homeless now many of the affected community are facing second threat by,0
africa insane image of the devastation in mozambique after tropical cyclone directly hit the city of the area destroyed fear the death toll in both amp fc could climb to dasen thathiah,2
in mozambique medical activity in beira hospital local health center and throughout the community have ceased completely of the area around beira ha been destroyedmain road leading in cut off building submerged amp damaged,1
rt people missing and at least dead a sweep eastern zimbabwe,2
aerial footage showing damage,1
face and story from survivor teacher training university in buzi wa destroyed helena moises and her family including month old baby took refuge in what is left of some of the classroom,1
cyclone idai took the life of many and caused massive destruction in mozambique and part of eastern zimbabwe we are thankful our mission and community in,2
visiting accommodation centre in with graca machel president of ha displaced near on people from their home they are hosted in transit centre partner are on the ground,0
update part of the road damaged by the flood at umvumvu river along mutare chimanimani road,1
according to mozambique government the official death toll ha risen to at least people with more than injury following the devastating cyclone idai that made land fall on march leaving trail of death and destruction on it path,2
over half million people live in beira mozambique of the building have been destroyed according to flood water in buzi were a high a the palm tree home were completely washed away everyone here ha been made homeless by cyclone idai,1
to afford the missing victim decent burial the gvt need to mobilise ground penetrating radar 9 unit sniffer dog forensic dna testing we shouldnt bury them unidentified or leave others mud trapped beneath,3
ha killed people in zimbabwe thousand are homeless and president mnangangwa ha left zimbabwe for for abu dhabi vice president chiwenga is the acting president,2
it is real disaster of great proportion more than feared dead in mozambique four day after cyclone slammed into the country submerging entire village and leaving body in the floodwaters,2
bbc news cyclone idai score more death reported in mozambique,2
the magnitude of the damage thats been caused by is beyond what any image have shown seeing victim amp hearing them narrate their story forced tear out the army doing their absolute best to assist people having to be strong boulder where house used to,1
a trail of destruction left by cyclone idai,1
damaged bridge that link mutare and chimanimani after cyclone idai flood in the manicaland province of zimbabwe the bridge is between wengezi and nhedziwa km after mhandarume and km before matsororo,1
on behalf of the zimbabwe national liberation war veteran association would like to extend our heartfelt condolence to those killed by and wish those affected speedy recovery victor matemadanda now on,2
more than thousand people are feared to have died in cyclone that smashed into last week while score were killed and more than are missing in neighbouring,2
hundred of people have been confirmed dead amp hundred of thousand more have been affected by what the un say could be one of the worst weather related disaster ever to hit the southern hemisphere,2
caused not just loss of life but also loss of livelihood match is harvest season and whole crop were wiped out with countless livestock drowned flood and wind destroyed business school clinic church road and communication infrastructure,1
good morning africa sadc region is facing serious crisis the destruction in mozambique malawi and zimbabwe due to the cyclone many people have died the humanitarian assistance is slow,2
the deafening silence by sadc secretariat on cyclone idai that hit mozambique zimbabwe and malawi that left many dead and destroyed lot of property is shocking by now the secretariat could have convene to discus intervention chairman namibia is futile and sleeping,2
picture chirwa bus plunge into runde river a cyclone idai flood continue in chiredzi zimbabwe,1
rt cyclone idai make landfall in mozambique dozen already killed,2
rt cyclone idai hit mozambique infrastucture property in some area destroyed loss of life hereby call upon,1
fred his wife betina and their child sit where their house once stood took everything they owned both were farmer who worked the land around their house the recent flood brought mass of sand which ha now rendered the land useless,1
these aerial photo in chimanimani eastern highland of show the growing humanitarian crisis unfolding within the area a catastrophic ha forced individual to seek refuge in any shelter available,0
a check out this incredible video which document the damage to infrastructure in the chimanimani area the video geo locates aerial photograph of landslide and bridge damage on google map the obstacle to relief and repair are huge we need all hand on deck,1
sofala manica zambezia and inhambane province in have been hardest hit by initial report indicate significant damage to beira and surrounding area including destroyed house,1
food shelter knowing your family are safe over million life have been devastated by cyclone idai hundred are missing family across and are separated we are helping them find each other again,3
destroys zimbabwe farm deepening food crisis news,1
dd news at least people killed and dozen go missing after strong tropical hit part of cyclone also lash neighbouring mozambique and malawi causing massive damage to life and property affect over million people in,2
bikita update death homeless house destroyed a of today statistic from meeting held today at da complex some area still unaccessible,2
rt crop are not being spared,1
fmozambique nearly people have been affected by flood including more than displaced at least death have been reported is expected to bring more heavy rain amp strong wind find out more on gt gt,0
the effect of cyclone infrastructure destroyed and area affected inaccessible,1
cyclone huge flood leave hundred dead in southern africa,2
i refuse to believe that my government didnt evacuate from prone area because of the opposition,0
of the city of beira ha been destroyed by the cyclone according to red cross the scale of damage caused by cyclone idai that hit the mozambican city of beira is massive and horrifying red cross and red crescent society said in statement,1
first thing you have to ask yourself is bigman vane social medium presence yakadii the answer to that will help you lot,4
mozambique president filipe nyusi say that more than people may have by killed by cyclone idai which many say is the worst such storm in more than year,2
if ballot paper can reach this old woman why are right to basic service like clean water and proper house from the gvt cannot,4
and spot 7 image are used in this map of the westward ho area of the map ass the damage to the area after estimating flooded area and landslide,1
mozambique activates red alert in the north and centre of mozambique following bad weather and arrival of tropical at least death reported people displaced and people were affected by the flood in zambzia tete and niassa province,2
aftermath ha commenced work on the repair of the middle sabi canal which were extensively damaged by the cyclone the canal deliver water to the sugar cane estate and a2 farmer in middle sabi,1
death toll in zimbabwe rise to via,2
ongoing cyclone aida currently destroying home and road in the eastern part of zimbabwe and mozambique understand life have been lost,1
mozambique death toll rise to after cyclone hundred of people are dying million displaced the situation devastating a in this video amp this not making headline not even in african medium and you think western medium is our enemy if this happened out yall be tweeting,2
hi guy hope youre all aware of people have been injured some have died and have lost or damaged property remember our nation in prayer fd,2
this cyclone ha come at very huge human cost mozambique is saying their death toll can reach thousand people they are presently not sure how many people are missing we certainly need regional approach to these effect of global warming these problem are transnational,2
break the cycle of disaster response recovery urge top un official a death toll mount from,2
devastating scene from where cyclone idai ha destroyed road amp bridge cutting off affected area in the eastern part of the country score dead amp many more still unaccounted for a entire village were swept away by the huge flood,1
more than people were left without their house in health unit destroyed road school and among other infrastructure,1
the state of road in some part of chimanimani the damage ha been extensive ha have it hand full more help surely required to return the area to some sort of normalcy,1
assessing the damage caused by in chimanimani wfp regional director lead relief effort in,1
rt mozambique say death toll rise to after cyclone,2
day after there is still lot of flood water visible on the ground in sofala province latest update from the government say that house have been destroyed partially and totally or flooded,1
update due to the damaged umvumvumvu bridge communication were made with biriri high school representative for an alternative to deliver the good at nyanyadzi high school thank you so much to everyone who contributed to the cause,1
important please see latest uk c7travel advice for the cyclone ha devastated critical infrastructure in the province of sofala zambezia manica and teteaccess to the affected area is challenging,1
the situation is dire the damage to infrastructure is beyond comprehension the need is enormous earnest maswera tearfunds country director in zimbabwe,1
just have look at the damage beira in mozambique sustained after it took direct hit from tropical cyclone idai our thought are with mozambique and the people affected,1
for the love of god and humanitylet u not politicize aid,4
